motif_chr	motif_start	motif_end	motif	motif_score	motif_strand	tss_chr	tss_start	tss_end	tss_info	tss_score	tss_strand	TSS_id	oligo_reg_x	oligo_reg_y	enhancer_id	oligo_reg	unique_id
chr1	714091	714092	Atf1	11.2459	+	chr1	713977	714092	intergenic__p1@ENST00000428504,p1@uc001abo.2__chr1:713985..714054,-	0	-	chr1:713985..714054,-	chr1:713977..714091,-			chr1:713977..714091,-	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:713977..714091,-__88.1.0.0
chr1	713979	713991	E2F1	11.9672	+	chr1	713977	714092	intergenic__p1@ENST00000428504,p1@uc001abo.2__chr1:713985..714054,-	0	-	chr1:713985..714054,-	chr1:713977..714091,-			chr1:713977..714091,-	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:713977..714091,-__88.1.0.0
chr1	714063	714076	JUN	10.0204	+	chr1	713977	714092	intergenic__p1@ENST00000428504,p1@uc001abo.2__chr1:713985..714054,-	0	-	chr1:713985..714054,-	chr1:713977..714091,-			chr1:713977..714091,-	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:713977..714091,-__88.1.0.0
chr1	713977	713988	YY1	9.98077	+	chr1	713977	714092	intergenic__p1@ENST00000428504,p1@uc001abo.2__chr1:713985..714054,-	0	-	chr1:713985..714054,-	chr1:713977..714091,-			chr1:713977..714091,-	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:713977..714091,-__88.1.0.0
chr1	53704213	53704221	Atf1	11.2459	+	chr1	53704155	53704270	div_pc__p1@MAGOH__chr1:53704157..53704219,-	0	-	chr1:53704157..53704219,-	chr1:53704155..53704269,-			chr1:53704155..53704269,-	WILDTYPE__mrna.flip.sense__chr1:53704155..53704269,-__1140.1.0.0
chr1	53704214	53704222	CREB1	13.5495	+	chr1	53704155	53704270	div_pc__p1@MAGOH__chr1:53704157..53704219,-	0	-	chr1:53704157..53704219,-	chr1:53704155..53704269,-			chr1:53704155..53704269,-	WILDTYPE__mrna.flip.sense__chr1:53704155..53704269,-__1140.1.0.0
chr1	53704268	53704270	ELF1	14.2364	+	chr1	53704155	53704270	div_pc__p1@MAGOH__chr1:53704157..53704219,-	0	-	chr1:53704157..53704219,-	chr1:53704155..53704269,-			chr1:53704155..53704269,-	WILDTYPE__mrna.flip.sense__chr1:53704155..53704269,-__1140.1.0.0
chr1	53704207	53704218	Gabpa	15.0328	+	chr1	53704155	53704270	div_pc__p1@MAGOH__chr1:53704157..53704219,-	0	-	chr1:53704157..53704219,-	chr1:53704155..53704269,-			chr1:53704155..53704269,-	WILDTYPE__mrna.flip.sense__chr1:53704155..53704269,-__1140.1.0.0
chr1	53704210	53704223	JUN	10.3878	+	chr1	53704155	53704270	div_pc__p1@MAGOH__chr1:53704157..53704219,-	0	-	chr1:53704157..53704219,-	chr1:53704155..53704269,-			chr1:53704155..53704269,-	WILDTYPE__mrna.flip.sense__chr1:53704155..53704269,-__1140.1.0.0
chr1	53704213	53704221	Atf1	11.2459	+	chr1	53704188	53704303	div_lnc__p1@LOC100507564__chr1:53704242..53704290,+	0	+	chr1:53704242..53704290,+	chr1:53704189..53704303,+			chr1:53704189..53704303,+	WILDTYPE__Lincrna.flip.sense__chr1:53704189..53704303,+__82.1.0.0
chr1	53704214	53704222	CREB1	13.5495	+	chr1	53704188	53704303	div_lnc__p1@LOC100507564__chr1:53704242..53704290,+	0	+	chr1:53704242..53704290,+	chr1:53704189..53704303,+			chr1:53704189..53704303,+	WILDTYPE__Lincrna.flip.sense__chr1:53704189..53704303,+__82.1.0.0
chr1	53704268	53704280	ELF1	14.2364	+	chr1	53704188	53704303	div_lnc__p1@LOC100507564__chr1:53704242..53704290,+	0	+	chr1:53704242..53704290,+	chr1:53704189..53704303,+			chr1:53704189..53704303,+	WILDTYPE__Lincrna.flip.sense__chr1:53704189..53704303,+__82.1.0.0
chr1	53704270	53704280	ELK1	13.9787	+	chr1	53704188	53704303	div_lnc__p1@LOC100507564__chr1:53704242..53704290,+	0	+	chr1:53704242..53704290,+	chr1:53704189..53704303,+			chr1:53704189..53704303,+	WILDTYPE__Lincrna.flip.sense__chr1:53704189..53704303,+__82.1.0.0
chr1	53704270	53704281	ELK4	16.7091	-	chr1	53704188	53704303	div_lnc__p1@LOC100507564__chr1:53704242..53704290,+	0	+	chr1:53704242..53704290,+	chr1:53704189..53704303,+			chr1:53704189..53704303,+	WILDTYPE__Lincrna.flip.sense__chr1:53704189..53704303,+__82.1.0.0
chr1	53704270	53704280	ETS1	12.8966	+	chr1	53704188	53704303	div_lnc__p1@LOC100507564__chr1:53704242..53704290,+	0	+	chr1:53704242..53704290,+	chr1:53704189..53704303,+			chr1:53704189..53704303,+	WILDTYPE__Lincrna.flip.sense__chr1:53704189..53704303,+__82.1.0.0
chr1	53704207	53704218	Gabpa	15.0328	+	chr1	53704188	53704303	div_lnc__p1@LOC100507564__chr1:53704242..53704290,+	0	+	chr1:53704242..53704290,+	chr1:53704189..53704303,+			chr1:53704189..53704303,+	WILDTYPE__Lincrna.flip.sense__chr1:53704189..53704303,+__82.1.0.0
chr1	53704210	53704223	JUN	10.3878	+	chr1	53704188	53704303	div_lnc__p1@LOC100507564__chr1:53704242..53704290,+	0	+	chr1:53704242..53704290,+	chr1:53704189..53704303,+			chr1:53704189..53704303,+	WILDTYPE__Lincrna.flip.sense__chr1:53704189..53704303,+__82.1.0.0
chr1	119682986	119682994	Atf1	13.0492	-	chr1	119682959	119683074	div_lnc__p1@ENST00000425884,p1@ENST00000440150,p1@uc001eho.1,p1@uc001ehp.1,p1@uc009whk.1__chr1:119683002..119683047,+	0	+	chr1:119683002..119683047,+	chr1:119682960..119683074,+			chr1:119682960..119683074,+	WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:119682960..119683074,+__10.1.0.0
chr1	119682987	119682995	Atf3	14.3279	-	chr1	119682959	119683074	div_lnc__p1@ENST00000425884,p1@ENST00000440150,p1@uc001eho.1,p1@uc001ehp.1,p1@uc009whk.1__chr1:119683002..119683047,+	0	+	chr1:119683002..119683047,+	chr1:119682960..119683074,+			chr1:119682960..119683074,+	WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:119682960..119683074,+__10.1.0.0
chr1	119682985	119682993	CREB1	11.4775	-	chr1	119682959	119683074	div_lnc__p1@ENST00000425884,p1@ENST00000440150,p1@uc001eho.1,p1@uc001ehp.1,p1@uc009whk.1__chr1:119683002..119683047,+	0	+	chr1:119683002..119683047,+	chr1:119682960..119683074,+			chr1:119682960..119683074,+	WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:119682960..119683074,+__10.1.0.0
