unique_id	tested_SNP	HepG2_effect_size	K562_effect_size	HepG2_sig_status	K562_sig_status	tagged_SNP	r_squared	d_prime	distance_between_SNPs	n_snps_in_ld	pubmed_id	trait
WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr11:64013348..64013462,+__188.1.1.0	rs11605738	0.179898618747931	-0.35984395231927624	sig	not sig	rs1059440	0.925828313	0.985729585	-21605.0	89.0	21784300	Attention deficit hyperactivity disorder
WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr11:64013348..64013462,+__188.1.1.0	rs11605738	0.179898618747931	-0.35984395231927624	sig	not sig	rs477895	0.756233498	0.9035851490000001	35506.0	91.0	22423221	Mean platelet volume
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr2:128283978..128284092,-__1053.1.2.0	rs17522960	0.36909780937405184	1.0533162163034782	sig	sig	rs334147	0.963484573	0.999999998	-28016.0	96.0	25201988	Educational attainment
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr11:62104849..62104963,+__1297.1.1.0	rs2246920	-0.6890891764768078	-0.41330280290756344	sig	not sig	rs2463822	1.0	0.999999999	-1517.0	85.0	23144326	Chronic obstructive pulmonary disease-related biomarkers
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr1:11159873..11159987,-__1414.1.1.0	rs17552394	0.3731867336913462	0.29884638643610295	sig	not sig	rs17036350	0.9605583000000001	0.9999999959999999	11258.0	318.0	21665993	Corneal curvature
WILDTYPE_SNP_INDIV__mrna.flip.sense__chr10:1034322..1034436,+__1440.1.1.0	rs12772979	-0.4575234693851839	-0.4520399629735041	sig	not sig	rs12762955	0.74362013	0.9784020640000001	44370.0	72.0	22566498	Response to angiotensin II receptor blocker therapy
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr10:52645397..52645511,-__1446.1.1.0	rs10994860	-0.36260634818289245	-0.8463784965625284	sig		rs10821905	0.9938588140000001	0.999999999	669.0	14.0	23263486	Urate levels
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr11:44087929..44088043,+__1461.1.1.0	rs2074038	1.051704323577461	2.5703636962553857	sig	sig	rs2074038	1.0	1.0	0.0	9.0	26028593	IgA nephropathy
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr11:44087955..44088069,+__1462.1.1.0	rs2074038	0.6442163472760011	1.4184294902214327	sig	sig	rs2074038	1.0	1.0	0.0	9.0	26028593	IgA nephropathy
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr11:506733..506847,-__1465.1.1.0	rs116101630	1.0482106078280016	1.1925673010114992	sig	not sig	rs10540	1.0	0.999999999	-12164.0	106.0	25673413	Body mass index
WILDTYPE_SNP_INDIV__mrna.flip.sense__chr11:62432704..62432818,+__1469.1.1.0	rs73502133	-1.8318797597126333	-1.7466830183320057	sig	sig	rs575134	1.0	0.99999995	28445.0	182.0	24554482	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 3 peripheral neuropathy)
WILDTYPE_SNP_INDIV__mrna.flip.sense__chr11:65647228..65647342,+__1475.1.1.0	rs658524	0.7563883121400816	1.2404362376199394	sig		rs2231884	0.82435238	0.992316821	9304.0	38.0	23128233	Inflammatory bowel disease
WILDTYPE_SNP_INDIV__mrna.flip.sense__chr11:65647228..65647342,+__1475.1.1.0	rs658524	0.7563883121400816	1.2404362376199394	sig		rs568617	0.9935453240000001	0.999999999	5982.0	37.0	26192919	Crohn's disease
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr12:32552716..32552830,+__1481.1.1.0	rs2651369	-0.6816203274879955	-1.1471624119366042	sig	not sig	rs11051970	0.903112652	0.9588667740000001	-15281.0	72.0	22491018	Response to tocilizumab in rheumatoid arthritis
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr12:38710496..38710610,+__1482.1.3.0	rs7296576	-0.29089017843831183	-0.629773826496365	sig	sig	rs6582630	0.922417487	0.991606153	32925.0	536.0	19483685	Drug-induced liver injury (flucloxacillin)
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr13:76334724..76334838,+__1491.1.1.0	rs7997101	0.5573802058031366	-0.2565963012288239	sig		rs539514	0.809065777	1.0	-8536.0	40.0	21980299	Type 1 diabetes
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr15:40675065..40675179,+__1499.1.1.0	rs7164132	0.4112035452876596	-0.0009534203938822428	sig	not sig	rs78153629	0.988808793	0.999999999	-1690.0	41.0	25130324	Heschl's gyrus morphology
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr17:46184858..46184972,+__1524.1.1.0	rs16952265	-0.8785179679992909	-1.4553875887295653	sig	sig	rs72823592	0.844249197	0.999999999	-61879.0	148.0	22949513	Epilepsy (generalized)
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr17:5390106..5390220,+__1525.1.3.0	rs1805463	-0.46180791366717105	-0.14805319978673254	sig	not sig	rs1805465	1.0	0.9999999959999999	2882.0	36.0	25987655	Asparaginase hypersensitivity in acute lymphoblastic leukemia
WILDTYPE_SNP_INDIV__mrna.flip.sense__chr17:73663226..73663340,-__1529.1.1.0	rs2165635	-0.17530216782813615	-0.19746298455869182	sig	not sig	rs820218	0.915814789	0.986405913	24199.0	95.0	26350878	Rotator cuff tears
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr2:172543899..172544013,+__1551.1.1.0	rs6721680	-0.516032907875717	-0.6785535677560919	sig	not sig	rs13004237	0.771903888	0.977722963	289226.0	159.0	26198764	Schizophrenia
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr2:200820436..200820550,+__1554.1.1.0	rs281766	0.66367882740875	0.3819452984082605	sig	not sig	rs281768	0.7393975279999999	0.999999999	4735.0	70.0	26198764	Schizophrenia
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr2:207630286..207630400,+__1558.1.1.0	rs3762567	-0.5395755041054665	-0.6756581589534535	sig	not sig	rs2277912	0.993182527	0.999999999	3898.0	11.0	20966902	Height
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr2:219432929..219433043,-__1561.1.2.0	rs500422	-0.37446585497442864	-0.20811514526437935	sig		rs10187066	0.944228629	1.0	81764.0	493.0	20881960	Height
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr2:219432929..219433043,-__1561.1.2.0	rs500422	-0.37446585497442864	-0.20811514526437935	sig		rs1541777	0.720866386	0.929658126	154296.0	1038.0	25429064	Height
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr2:219432929..219433043,-__1561.1.2.0	rs500422	-0.37446585497442864	-0.20811514526437935	sig		rs611203	0.936474108	1.0	39330.0	493.0	25429064	Height
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr2:219432929..219433043,-__1561.1.2.0	rs500422	-0.37446585497442864	-0.20811514526437935	sig		rs7607369	0.86400405	0.944851349	-153898.0	488.0	22959728	Amyotrophic lateral sclerosis
WILDTYPE_SNP_INDIV__mrna.flip.sense__chr2:27851837..27851951,+__1570.1.1.0	rs3749147	0.21970264595158795	0.1311533124544103	sig	not sig	rs3749147	1.0	1.0	0.0	55.0	21386085	Waist Circumference - Triglycerides (WC-TG)
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr20:23618557..23618671,-__1579.1.2.0	rs71334202	0.5883242760059949	0.6603713503815383	sig	not sig	rs35610040	0.97216812	0.999999999	-2183.0	142.0	24952865	Plasma cystastin c levels in acute coronary syndrome
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr21:30445916..30446030,-__1586.1.2.0	rs2012645	-0.23917272455072744	-0.37575601253508467	sig	not sig	rs2832191	0.7485727879999999	0.9901342120000001	43339.0	124.0	23259602	Dental caries
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr21:34697198..34697312,+__1587.1.1.0	rs2850015	2.097040964330207	3.232788177095539	sig	sig	rs2834188	1.0	1.0	-8011.0	49.0	24204295	Narcolepsy
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr22:35653411..35653525,+__1603.1.1.0	rs5755674	-0.29306714479319734	-0.2192173789067	sig	not sig	rs1053593	0.9268864090000001	1.0	7402.0	158.0	25673412	Waist-to-hip ratio adjusted for body mass index
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr22:41777866..41777980,+__1605.1.2.0	rs2234059	0.45818299063072904	0.5617357661201914	sig	sig	rs4822024	0.909440412	0.9828303509999999	-20266.0	558.0	22561518	Vitiligo
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr22:41777866..41777980,+__1605.1.2.0	rs2234059	0.45818299063072904	0.5617357661201914	sig	sig	rs727563	0.8482307920000001	0.920994458	89464.0	560.0	26192919	Inflammatory bowel disease
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr22:41777866..41777980,+__1605.1.2.0	rs2234059	0.45818299063072904	0.5617357661201914	sig	sig	rs727563	0.8482307920000001	0.920994458	89464.0	560.0	26192919	Crohn's disease
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr3:52321773..52321887,+__1628.1.1.0	rs13065677	0.24785826857881602	0.19497397225010082	sig	not sig	rs6784615	0.883909045	0.98178707	184638.0	115.0	20935629	Waist-hip ratio
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr4:38784576..38784690,-__1635.1.2.0	rs10012017	0.22150521988867208	0.12102467639743494	sig	not sig	rs10004195	0.995068772	1.0	91.0	125.0	23652523	Helicobacter pylori serologic status
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr4:38784576..38784690,-__1635.1.2.0	rs10012017	0.22150521988867208	0.12102467639743494	sig	not sig	rs17616434	0.9130484109999999	0.969734766	28243.0	135.0	23817571	Allergic sensitization
