motif_id	motif_name	ensembl_id	HeLa-S3	HepG2	K562	tissue_sp
MA0002.2	RUNX1	ENSG00000159216	1.8595689999999998	4.693606	9.631455	0.4398689848349324
MA0003.3	TFAP2A	ENSG00000137203	21.243269	0.0	1.048992	0.6502066764457642
MA0007.3	Ar	ENSG00000169083	0.0	0.0	0.001697	0.6666666666666666
MA0009.2	T	ENSG00000164458	0.0	0.0	0.0	
MA0014.2	PAX5	ENSG00000196092	0.0016179999999999999	0.0	0.0	0.6666666666666666
MA0017.2	NR2F1	ENSG00000175745	13.203014999999999	41.589422	0.07865599999999999	0.5602159526686057
MA0019.1	Ddit3::Cebpa					
MA0024.3	E2F1	ENSG00000101412	27.609332000000002	18.917195	9.447985000000001	0.3242078197811281
MA0028.2	ELK1	ENSG00000126767	9.768034	4.639946	18.835272	0.4116844184676494
MA0029.1	Mecom	ENSG00000085276	5.854425	0.298581	7.583922	0.3962258578081368
MA0032.2	FOXC1	ENSG00000054598	18.196126	0.243152	0.0	0.6622123852077085
MA0035.3	Gata1	ENSG00000102145	0.040893	0.052902	70.422962	0.6662227063572437
MA0036.2	GATA2	ENSG00000179348	10.193691000000001	2.537071	19.964254999999998	0.4541074034568282
MA0038.1	Gfi1	ENSG00000162676	0.472233	7.727975	0.545705	0.6227596060632529
MA0039.2	Klf4	ENSG00000136826	11.064861	0.387824	0.13385	0.6509510301726037
MA0040.1	Foxq1	ENSG00000164379	11.684526	23.39459	0.0	0.5001819366500261
MA0041.1	Foxd3	ENSG00000187140	0.0	0.0	0.302548	0.6666666666666666
MA0043.2	HLF	ENSG00000108924	0.537751	272.034984	0.089877	0.6658976136196757
MA0046.2	HNF1A	ENSG00000135100	0.096801	9.475386	0.045592	0.6616574424162421
MA0047.2	Foxa2	ENSG00000125798	0.0	8.455249	0.043578	0.6649486805967117
MA0048.2	NHLH1	ENSG00000171786	0.16300499999999998	0.39202800000000004	0.282623	0.2877583573962405
MA0050.2	IRF1	ENSG00000125347	6.419433000000001	3.371104	2.506923	0.3614462004146888
MA0051.1	IRF2	ENSG00000168310	10.947975	20.557920000000003	7.9297	0.3605774157437458
MA0057.1	MZF1(var.2)	ENSG00000099326	13.998114000000001	7.593087	12.369282	0.19130812908081762
MA0058.3	MAX	ENSG00000125952	25.059146	23.23077	27.718077	0.0859395597080322
MA0059.1	MAX::MYC					
MA0060.2	NFYA	ENSG00000001167	9.866969000000001	12.048921	14.052785	0.14681977036343088
MA0062.2	Gabpa	ENSG00000154727	18.228236	4.262186	11.918575	0.3707747877157906
MA0065.2	Pparg::Rxra					
MA0066.1	PPARG	ENSG00000132170	49.182955	59.93011	0.0	0.3931093791306796
MA0069.1	Pax6	ENSG00000007372	10.649324	0.547014	3.200218	0.5493749650212539
MA0070.1	PBX1	ENSG00000185630	22.549597	0.0	0.196409	0.6637633036191289
MA0071.1	RORA	ENSG00000069667	0.421814	28.161353000000002	0.374198	0.6572446288358376
MA0072.1	RORA(var.2)	ENSG00000069667	0.421814	28.161353000000002	0.374198	0.6572446288358376
MA0073.1	RREB1	ENSG00000124782	1.6969889999999999	5.0753580000000005	4.047407	0.28939305036872937
MA0074.1	RXRA::VDR					
MA0076.2	ELK4	ENSG00000158711	11.829233	4.769447	5.169544	0.3865980434516197
MA0077.1	SOX9	ENSG00000125398	0.00361	13.548262	0.0	0.6665778483862604
MA0078.1	Sox17	ENSG00000164736	0.277997	0.0	0.0	0.6666666666666666
MA0079.3	SP1	ENSG00000185591	56.97590699999999	20.181485000000002	30.029010999999997	0.3729138704189474
MA0080.4	SPI1	ENSG00000066336	0.0	0.0	11.100430000000001	0.6666666666666666
MA0084.1	SRY	ENSG00000184895	0.0	4.203567	0.0	0.6666666666666666
MA0088.2	ZNF143	ENSG00000166478	27.962220000000002	28.499288	31.681851	0.07261985208292705
MA0090.2	TEAD1	ENSG00000187079	68.925785	12.085989	4.046444	0.5886482927494647
MA0091.1	TAL1::TCF3					
