Id	tissue_sp_all	tissue_sp_3
chr1:839741-840250	0.9816737234816476	0.4836537930578417
chr1:840753-841210	0.9849119224754692	0.4836537930578417
chr1:845485-845678	0.9900332891983752	0.6666666666666666
chr1:855764-856157	0.9905975662028716	0.6666666666666666
chr1:856539-856757	0.97739989010858	0.479530541687057
chr1:858256-858648	0.9883114471586786	0.6666666666666666
chr1:868565-868684	0.9889423656665279	
chr1:918449-918555	0.9797974086522476	0.30983291132308516
chr1:936652-937138	0.9818017099774722	0.34903170408478273
chr1:941791-942135	0.990092492739047	0.6666666666666666
chr1:945769-946034	0.98955761348178	0.5957586543264886
chr1:956563-956812	0.9686121552945568	0.5209958116181393
chr1:993498-993878	0.982765784019323	0.6271371507926082
chr1:994198-994452	0.9597121363881236	0.43862684171690275
chr1:1004646-1004986	0.9440851026133344	0.4476298714886058
chr1:1005293-1005547	0.9904858888150768	0.6666666666666666
chr1:1008722-1008886	0.99040372006843	0.6666666666666666
chr1:1014834-1015095	0.9414590255530128	0.4270649571732183
chr1:1060905-1061095	0.9886268087766932	0.5163734351951289
chr1:1063914-1064111	0.9732032122692468	0.6666666666666666
chr1:1070745-1071151	0.9898775440378764	0.5662365006764873
chr1:1093610-1093958	0.9758259136490304	
chr1:1098630-1098901	0.9928408442115884	
chr1:1107193-1107436	0.9902044577947172	
chr1:1114183-1114310	0.9912992933529696	
chr1:1124600-1124942	0.9958353987458408	
chr1:1136075-1136463	0.980815380736436	0.6666666666666666
chr1:1136667-1137146	0.9869038846306506	0.6666666666666666
chr1:1143531-1144198	0.9901241578088787	
chr1:1144376-1144549	0.9900866271689084	
chr1:1173386-1173736	0.9895972404932568	0.6666666666666666
chr1:1186391-1186507	0.9915166857539846	
chr1:1265677-1265980	0.9715074069830816	0.4228108518609286
chr1:1283060-1283625	0.9731731574397362	0.41696659535604397
chr1:1286847-1286913	0.9846539793956024	0.6666666666666666
chr1:1294735-1294982	0.9720666250364228	0.6666666666666666
chr1:1295535-1296332	0.9643344747589064	0.47426572983758913
chr1:1343359-1343768	0.9684493883168362	0.2840049215405285
chr1:1348685-1348696	0.9964282955930094	
chr1:1368471-1368786	0.9479970693515836	0.5799514710178134
chr1:1456676-1456699	0.9918576874873236	
chr1:1609619-1609864	0.9887222696234358	
chr1:1611804-1612115	0.9904008941787256	0.6666666666666666
chr1:1706859-1707124	0.986990309328292	
chr1:1708824-1709349	0.9688243769283658	0.3503810819402779
chr1:1714020-1714715	0.99196754042061	0.6666666666666666
chr1:1744250-1744609	0.9886740025946728	0.5081560495029359
chr1:1772108-1772256	0.9877368641540544	0.6666666666666666
chr1:1793829-1793862	0.9654957022588601	0.541112740652531
chr1:1803114-1803303	0.9854974303654264	0.49467749211123446
chr1:1814762-1815124	0.9789672917679988	0.4505655087320575
chr1:1840449-1840835	0.8356958827822534	0.10121810689772888
chr1:1951401-1951779	0.9928184846428969	
chr1:1952050-1952360	0.9893673596983096	
chr1:1978731-1978937	0.9862738574627568	0.6666666666666666
chr1:2059932-2059994	0.9915997505587536	
chr1:2068660-2068858	0.9879540856723064	0.6666666666666666
chr1:2082729-2083012	0.995077467982836	
chr1:2111429-2112079	0.9813385260564416	0.6637339707985673
chr1:2135885-2136186	0.9715620167002986	0.46294186681303034
chr1:2140151-2140337	0.9730235868161364	0.4194551265256607
chr1:2162325-2162996	0.9824920771158866	
chr1:2171824-2171946	0.9919490992100332	
chr1:2172142-2172385	0.9965670719684804	0.5081560495029359
chr1:2177615-2177829	0.9839180263534884	
chr1:2190530-2190674	0.982562921219812	
chr1:2221868-2222548	0.9711171684463584	
chr1:2230678-2230895	0.9836221762654695	
chr1:2231691-2232185	0.9878885022664292	
chr1:2232428-2232896	0.9781284294219308	
chr1:2245775-2246116	0.9680176930559794	0.5444354008912239
chr1:2246556-2246763	0.9792391660135517	0.5869215957435437
chr1:2253622-2253773	0.974880416341863	
chr1:2254081-2254230	0.9874570910177516	0.6666666666666666
chr1:2380992-2381349	0.9836411338190284	
chr1:2406489-2406881	0.9856306584856132	
chr1:2476299-2476723	0.9953506303499432	
chr1:2477415-2477971	0.964936959744592	0.45518057475401424
