oligo_reg	TSS_id	selected	PromType2	cage_id	av_exp	tissue_sp_all	tissue_sp_3	n_expr	tss_type	log_av_exp
chr20:49575034..49575148,-	chr20:49575059..49575077,-	mRNA.random	protein_coding	chr20:49575059..49575077,-	78.01595696901516	0.8337042307348543	0.2669908281357404	550.0	ubiquitous	1.8921834400600672
chrX:2609217..2609331,+	chrX:2609278..2609302,+	mRNA.random	protein_coding	chrX:2609278..2609302,+	15.452699368884796	0.9301234720128084	0.6065128788515973	184.0	moderate	1.1890043555156329
chr17:46184858..46184972,+	chr17:46184920..46184951,+	mRNA.gwas	protein_coding	chr17:46184920..46184951,+	3.4245167175839173	0.8829130227604313	0.14315399682151714	538.0	ubiquitous	0.5345992906617654
chr2:188378345..188378459,-	chr2:188378374..188378387,-	mRNA.expmatch	protein_coding	chr2:188378374..188378387,-	5.899064093695879	0.9922024873341766	0.6510212454979285	248.0	moderate	0.7707831148311627
chr2:188378345..188378459,+	chr2:188378374..188378387,-	mRNA.expmatch	protein_coding	chr2:188378374..188378387,-	5.899064093695879	0.9922024873341766	0.6510212454979285	248.0	moderate	0.7707831148311627
chr7:93204001..93204115,-	chr7:93204033..93204043,-	mRNA.expmatch	protein_coding	chr7:93204033..93204043,-	0.2777442182953649	0.9960337481933308		69.0	moderate	-0.5563549728499346
chr17:5372218..5372332,-	chr17:5372229..5372261,-	mRNA.expmatch	div_pc	chr17:5372229..5372261,-	1.0080133988768407	0.8764554165604478	0.4947409984884266	451.0	moderate	0.003466304946412185
chr17:5372218..5372332,+	chr17:5372229..5372261,-	mRNA.expmatch	div_pc	chr17:5372229..5372261,-	1.0080133988768407	0.8764554165604478	0.4947409984884266	451.0	moderate	0.003466304946412185
chr17:34900775..34900889,+	chr17:34900837..34900860,+	mRNA.expmatch	protein_coding	chr17:34900837..34900860,+	1.0877092839692453	0.8997378545758046	0.5078333757166873	459.0	moderate	0.036512835399886485
chr19:3606824..3606938,-	chr19:3606847..3606898,-	mRNA.random	div_pc	chr19:3606847..3606898,-	3.8203174412598986	0.9450610848864778	0.5816151691626494	462.0	moderate	0.582099451199569
chr17:9862777..9862891,-	chr17:9862797..9862825,-	mRNA.expmatch	protein_coding	chr17:9862797..9862825,-	2.2830680033800554	0.989921815127764	0.6666666666666666	97.0	moderate	0.35851884756244845
chr6:111804879..111804993,+	chr6:111804905..111804921,-	mRNA.bidirec70-160	div_pc	chr6:111804905..111804921,-	1.2309776904569365	0.8767339927345182	0.2518269690313046	515.0	ubiquitous	0.0902501820952124
chr6:111804879..111804993,-	chr6:111804905..111804921,-	mRNA.bidirec70-160	div_pc	chr6:111804905..111804921,-	1.2309776904569365	0.8767339927345182	0.2518269690313046	515.0	ubiquitous	0.0902501820952124
chr1:209929438..209929552,+	chr1:209929494..209929523,+	mRNA.gwas	protein_coding	chr1:209929494..209929523,+	1.7312672021517574	0.9788254828537366		167.0	moderate	0.2383641016503834
chr12:4714071..4714185,+	chr12:4714145..4714156,+	mRNA.random	protein_coding	chr12:4714145..4714156,+	0.8007444825155021	0.9314088369580542	0.4558020162465419	445.0	moderate	-0.09650604513535746
chr4:1723169..1723283,+	chr4:1723197..1723261,+	mRNA.gwas	protein_coding	chr4:1723197..1723261,+	26.13058927082236	0.8366034018690742	0.21253107086000605	530.0	ubiquitous	1.417149203611018
