enhancer_id	TSS_id_Neg	TSS_id_Pos	distTSSs	sum_1828_samples	avExpALL	K562_rep1	K562_rep2	K562_rep3	HeLa_rep1	HeLa_rep2	HeLa_rep3	HepG2_rep1	HepG2_rep2	HepG2_rep3	avExpCS	oligo_reg_Neg	oligo_reg_Pos
chr1:1004646-1004986	chr1:1004724..1004725,-	chr1:1004806..1004807,+	239	2186.66	1.19620350109409	1.75865034022954	1.71896581225352	0	0.278501445481872	0.634141763865721	0.471889309403769	0.224832814702886	0	0.193772182802196	0.586750407637723	chr1:1004690..1004804,-	chr1:1004727..1004841,+
chr1:108483614-108484145	chr1:108483919..108483920,-	chr1:108484014..108484015,+	706	949.696	0.519527352297593	0	0	0	0	0	0	0	0	0	0	chr1:108483885..108483999,-	chr1:108483935..108484049,+
chr1:108592862-108593109	chr1:108592862..108592863,-	chr1:108592945..108592946,+	84	1794.28	0.981553610503282	0	0	0	0	0	0	0	0	0	0	chr1:108592828..108592942,-	chr1:108592866..108592980,+
chr1:109099158-109099479	chr1:109099171..109099172,-	chr1:109099303..109099304,+	159	1366.59	0.747587527352297	0	0	0	0	0	0.0786482182339615	0	0	0	0.00873869091488461	chr1:109099137..109099251,-	chr1:109099224..109099338,+
chr1:109788948-109789150	chr1:109788975..109788976,-	chr1:109789149..109789150,+	229	2093.39	1.14518052516411	0	0	0	0	0	0	0	0	0	0	chr1:109788941..109789055,-	chr1:109789070..109789184,+
chr1:111182665-111183078	chr1:111182707..111182708,-	chr1:111182849..111182850,+	227	1770.95	0.96879102844639	0	0	0	0	0	0	0	0	0	0	chr1:111182673..111182787,-	chr1:111182770..111182884,+
chr1:1136667-1137146	chr1:1136868..1136869,-	chr1:1136884..1136885,+	419	1077.3	0.589332603938731	0.219831292528693	0.190996201361503	0.490493526047371	0	0	0	0	0	0	0.100146779993063	chr1:1136834..1136948,-	chr1:1136805..1136919,+
chr1:1143531-1144198	chr1:1143566..1143567,-	chr1:1143630..1143631,+	135	1026.21	0.561384026258206	0	0	0	0	0	0	0	0	0	0	chr1:1143532..1143646,-	chr1:1143551..1143665,+
chr1:120188395-120188927	chr1:120188604..120188605,-	chr1:120188728..120188729,+	543	1806.63	0.988309628008753	0	0.572988604084508	0	0	0	0	0	0.0788870790622009	0	0.0724306314607454	chr1:120188570..120188684,-	chr1:120188649..120188763,+
chr1:121485082-121485212	chr1:121485186..121485187,-	chr1:121485187..121485188,+	210	8391.14	4.59033916849015	0	0	0	0	0	0	0	0	0	0	chr1:121485152..121485266,-	chr1:121485108..121485222,+
chr1:12213128-12213883	chr1:12213382..12213383,-	chr1:12213503..12213504,+	630	6250.13	3.41910831509847	0	0	0	0	0	0	0	0	0	0	chr1:12213348..12213462,-	chr1:12213424..12213538,+
chr1:12217829-12218258	chr1:12218025..12218026,-	chr1:12218191..12218192,+	559	1800.35	0.984874179431072	0	0	0	0	0	0	0.0749442715676286	0	0	0.00832714128529207	chr1:12217991..12218105,-	chr1:12218112..12218226,+
chr1:12221931-12222397	chr1:12222045..12222046,-	chr1:12222136..12222137,+	320	1371.47	0.750257111597374	0	0	0	0	0	0	0	0	0	0	chr1:12222011..12222125,-	chr1:12222057..12222171,+
chr1:12225396-12225718	chr1:12225548..12225549,-	chr1:12225653..12225654,+	410	2882.23	1.57671225382932	0	0	0	0	0	0	0	0	0	0	chr1:12225514..12225628,-	chr1:12225574..12225688,+
chr1:12233600-12234159	chr1:12233889..12233890,-	chr1:12233986..12233987,+	676	2685.59	1.46914113785558	0.219831292528693	0	0.16349784201579	0	0	0	0	0	0	0.0425921260604981	chr1:12233855..12233969,-	chr1:12233907..12234021,+
chr1:12240401-12240902	chr1:12240491..12240492,-	chr1:12240506..12240507,+	196	1191.59	0.651854485776805	0	0	0	0	0	0	0	0	0.064590727600732	0.00717674751119244	chr1:12240457..12240571,-	chr1:12240427..12240541,+
chr1:12243852-12244671	chr1:12244356..12244357,-	chr1:12244417..12244418,+	1070	1099.99	0.601745076586433	0	0	0	0	0	0	0	0	0	0	chr1:12244322..12244436,-	chr1:12244338..12244452,+
chr1:12717632-12717976	chr1:12717639..12717640,-	chr1:12717975..12717976,+	351	1164.51	0.637040481400438	17.146840817238	13.3697340953052	8.99238131086847	0	0	0	0	0	0	4.38988402482352	chr1:12717605..12717719,-	chr1:12717896..12718010,+
chr1:144533627-144534178	chr1:144533745..144533746,-	chr1:144533782..144533783,+	274	1137.12	0.622056892778993	0.659493877586079	0.572988604084508	0.817489210078951	0.092833815160624	0.28184078394032	0.0786482182339615	0.299777086270515	0.236661237186603	0.193772182802196	0.359278335038195	chr1:144533711..144533825,-	chr1:144533703..144533817,+
