oligo_reg	TSS_id	selected	PromType2
chr20:49575034..49575148,-	chr20:49575059..49575077,-	mRNA.random	protein_coding
chrX:2609217..2609331,+	chrX:2609278..2609302,+	mRNA.random	protein_coding
chr17:46184858..46184972,+	chr17:46184920..46184951,+	mRNA.gwas	protein_coding
chr2:188378345..188378459,-	chr2:188378374..188378387,-	mRNA.expmatch	protein_coding
chr2:188378345..188378459,+	chr2:188378374..188378387,-	mRNA.expmatch	protein_coding
chr7:93204001..93204115,-	chr7:93204033..93204043,-	mRNA.expmatch	protein_coding
chr17:5372218..5372332,-	chr17:5372229..5372261,-	mRNA.expmatch	div_pc
chr17:5372218..5372332,+	chr17:5372229..5372261,-	mRNA.expmatch	div_pc
chr17:34900775..34900889,+	chr17:34900837..34900860,+	mRNA.expmatch	protein_coding
chr19:3606824..3606938,-	chr19:3606847..3606898,-	mRNA.random	div_pc
chr17:9862777..9862891,-	chr17:9862797..9862825,-	mRNA.expmatch	protein_coding
chr6:111804879..111804993,+	chr6:111804905..111804921,-	mRNA.bidirec70-160	div_pc
chr6:111804879..111804993,-	chr6:111804905..111804921,-	mRNA.bidirec70-160	div_pc
chr1:209929438..209929552,+	chr1:209929494..209929523,+	mRNA.gwas	protein_coding
chr12:4714071..4714185,+	chr12:4714145..4714156,+	mRNA.random	protein_coding
chr4:1723169..1723283,+	chr4:1723197..1723261,+	mRNA.gwas	protein_coding
chr6:96969635..96969749,+	chr6:96969672..96969737,+	mRNA.bidirec70-160	div_pc
chr6:96969635..96969749,-	chr6:96969672..96969737,+	mRNA.bidirec70-160	div_pc
chr7:44580865..44580979,-	chr7:44580861..44580912,-	mRNA.gwas	protein_coding
chr3:149375223..149375337,-	chr3:149375245..149375279,-	mRNA.expmatch	protein_coding
chr1:25291462..25291576,-	chr1:25291475..25291511,-	mRNA.random	protein_coding
chr11:506733..506847,-	chr11:506739..506814,-	mRNA.gwas	protein_coding
chr4:68566831..68566945,+	chr4:68566832..68566896,-	mRNA.bidirec70-160	div_pc
chr4:68566831..68566945,-	chr4:68566832..68566896,-	mRNA.bidirec70-160	div_pc
chr8:59572109..59572223,-	chr8:59572129..59572169,-	mRNA.expmatch	protein_coding
chr3:51976956..51977070,+	chr3:51976988..51977042,+	mRNA.random	protein_coding
chr20:49307851..49307965,-	chr20:49307869..49307892,-	mRNA.random	protein_coding
chr10:1102659..1102773,+	chr10:1102721..1102805,+	mRNA.random	protein_coding
chr15:40987292..40987406,+	chr15:40987349..40987397,+	mRNA.bidirec70-160	div_pc
chr15:40987292..40987406,-	chr15:40987349..40987397,+	mRNA.bidirec70-160	div_pc
chr9:139743782..139743896,+	chr9:139743853..139743878,+	mRNA.random	protein_coding
chr14:64680803..64680917,+	chr14:64680854..64680891,+	mRNA.gwas	protein_coding
