unique_id	cage_id	n_motifs	n_bp_cov	max_cov	avg_tf_tissue_sp	log_n_motifs	log_bp_cov	log_max_cov	log_avg_tf_tissue_sp
WILDTYPE__mrna.noflip.NA__chr10:102046079..102046193,-__971.1.0.0	chr10:102046079..102046193,-	13	39	11		2.6390573296152584	3.6888794541139363	2.4849066497880004	
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:102133304..102133418,+__103.1.0.0	chr10:102133304..102133418,+	18	61	5		2.9444389791664403	4.127134385045092	1.791759469228055	
WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr10:1034322..1034436,+__1440.1.0.0	chr10:1034322..1034436,+	27	77	9		3.332204510175204	4.356708826689592	2.302585092994046	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:104597135..104597249,-__1441.1.0.0	chr10:104597135..104597249,-	10	78	3		2.3978952727983707	4.3694478524670215	1.3862943611198906	
WILDTYPE__Lincrna.noflip.NA__chr10:106113294..106113408,-__104.1.0.0	chr10:106113294..106113408,-	25	65	13		3.258096538021482	4.189654742026425	2.6390573296152584	
WILDTYPE__Lincrna.noflip.NA__chr10:10836857..10836971,-__105.1.0.0	chr10:10836857..10836971,-	2	35	1		1.0986122886681098	3.58351893845611	0.6931471805599453	
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:10836906..10837020,-__106.1.0.0	chr10:10836906..10837020,-	7	57	4		2.0794415416798357	4.060443010546419	1.6094379124341003	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:1102659..1102773,+__1337.1.0.0	chr10:1102659..1102773,+	61	90	19		4.127134385045092	4.51085950651685	2.995732273553991	
WILDTYPE__Antisense.noflip.NA__chr10:112631947..112632061,-__107.1.0.0	chr10:112631947..112632061,-	25	83	10		3.258096538021482	4.430816798843313	2.3978952727983707	
WILDTYPE__mrna.flip.sense__chr10:114710172..114710286,+__972.1.0.0	chr10:114710172..114710286,+	7	46	4		2.0794415416798357	3.8501476017100584	1.6094379124341003	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:116286634..116286748,-__1409.1.0.0	chr10:116286634..116286748,-	17	59	7		2.8903717578961645	4.0943445622221	2.0794415416798357	
WILDTYPE__Antisense.noflip.NA__chr10:118609196..118609310,-__108.1.0.0	chr10:118609196..118609310,-	29	84	14		3.4011973816621555	4.442651256490317	2.70805020110221	
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:11936664..11936778,-__110.1.0.0	chr10:11936664..11936778,-	46	85	14		3.8501476017100584	4.454347296253507	2.70805020110221	
WILDTYPE__Antisense.noflip.NA__chr10:119806425..119806539,+__111.1.0.0	chr10:119806425..119806539,+	42	106	16		3.7612001156935624	4.672828834461906	2.833213344056216	
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:121030597..121030711,-__2037.1.0.0	Enhancer.noflip.NA	27	58	12		3.332204510175204	4.07753744390572	2.5649493574615367	
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:121030665..121030779,+__1744.1.0.0	Enhancer.noflip.NA	41	58	12		3.7376696182833684	4.07753744390572	2.5649493574615367	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:121302190..121302304,-__1298.1.0.0	chr10:121302190..121302304,-	70	78	9		4.2626798770413155	4.3694478524670215	2.302585092994046	
WILDTYPE__mrna.flip.sense__chr10:123687943..123688057,-__973.1.0.0	chr10:123687943..123688057,-	38	69	12		3.6635616461296463	4.248495242049359	2.5649493574615367	
WILDTYPE__Antisense.flip.sense__chr10:127408027..127408141,-__112.1.0.0	chr10:127408027..127408141,-	24	74	13		3.2188758248682006	4.31748811353631	2.6390573296152584	
WILDTYPE__Enhancer.noflip.NA__chr10:129862576..129862690,-__2038.1.0.0	Enhancer.noflip.NA	20	87	6		3.044522437723423	4.477336814478207	1.9459101490553132	
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:129862613..129862727,+__1745.1.0.0	Enhancer.noflip.NA	18	90	6		2.9444389791664403	4.51085950651685	1.9459101490553132	
WILDTYPE__Lincrna.noflip.NA__chr10:131909050..131909164,-__113.1.0.0	chr10:131909050..131909164,-	42	100	14		3.7612001156935624	4.61512051684126	2.70805020110221	
WILDTYPE__Lincrna.noflip.NA__chr10:135061353..135061467,-__114.1.0.0	chr10:135061353..135061467,-	3	23	2		1.3862943611198906	3.1780538303479458	1.0986122886681098	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:135192695..135192809,+__1442.1.0.0	chr10:135192695..135192809,+	68	85	15		4.23410650459726	4.454347296253507	2.772588722239781	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:135192712..135192826,+__1443.1.0.0	chr10:135192712..135192826,+	62	73	15		4.143134726391533	4.30406509320417	2.772588722239781	
WILDTYPE__mrna.noflip.NA__chr10:14574678..14574792,-__974.1.0.0	chr10:14574678..14574792,-	5	47	2		1.791759469228055	3.871201010907891	1.0986122886681098	
WILDTYPE__mrna.noflip.NA__chr10:15085869..15085983,+__1393.1.0.0	chr10:15085869..15085983,+	9	42	8		2.302585092994046	3.7612001156935624	2.1972245773362196	
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:17255060..17255174,-__2228.1.0.0	Enhancer.noflip.NA	21	78	5		3.091042453358316	4.3694478524670215	1.791759469228055	
WILDTYPE__Enhancer.noflip.NA__chr10:17255131..17255245,+__1935.1.0.0	Enhancer.noflip.NA	6	31	5		1.9459101490553132	3.4657359027997265	1.791759469228055	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:26223078..26223192,+__1345.1.0.0	chr10:26223078..26223192,+	33	110	10		3.5263605246161616	4.709530201312334	2.3978952727983707	
WILDTYPE__mrna.noflip.NA__chr10:26727261..26727375,+__975.1.0.0	chr10:26727261..26727375,+	4	42	2		1.6094379124341003	3.7612001156935624	1.0986122886681098	
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:28821597..28821711,-__118.1.0.0	chr10:28821597..28821711,-	42	98	15		3.7612001156935624	4.59511985013459	2.772588722239781	
WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr10:28821628..28821742,+__1144.1.0.0	chr10:28821628..28821742,+	30	93	9		3.4339872044851463	4.543294782270004	2.302585092994046	
WILDTYPE__mrna.noflip.NA__chr10:28822565..28822679,+__976.1.0.0	chr10:28822565..28822679,+	33	71	16		3.5263605246161616	4.276666119016055	2.833213344056216	
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:29698406..29698520,+__119.1.0.0	chr10:29698406..29698520,+	15	81	6		2.772588722239781	4.406719247264253	1.9459101490553132	
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:29698426..29698540,+__120.1.0.0	chr10:29698426..29698540,+	23	93	8		3.1780538303479458	4.543294782270004	2.1972245773362196	
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:29698438..29698552,+__121.1.0.0	chr10:29698438..29698552,+	23	89	8		3.1780538303479458	4.499809670330265	2.1972245773362196	
WILDTYPE_BUT_HAS_SNP__Enhancer.flip.sense__chr10:30782546..30782660,+__1844.1.0.0	Enhancer.flip.sense	10	65	4		2.3978952727983707	4.189654742026425	1.6094379124341003	
WILDTYPE_BUT_HAS_SNP__Enhancer.flip.sense__chr10:30782567..30782681,-__2137.1.0.0	Enhancer.flip.sense	10	65	4		2.3978952727983707	4.189654742026425	1.6094379124341003	
WILDTYPE__Enhancer.noflip.NA__chr10:30831506..30831620,-__2138.1.0.0	Enhancer.noflip.NA	19	45	14		2.995732273553991	3.828641396489095	2.70805020110221	
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:30831727..30831841,+__1845.1.0.0	Enhancer.noflip.NA	12	58	6		2.5649493574615367	4.07753744390572	1.9459101490553132	
WILDTYPE__mrna.flip.sense__chr10:31608065..31608179,+__1145.1.0.0	chr10:31608065..31608179,+	117	80	17		4.770684624465665	4.394449154672439	2.8903717578961645	
WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr10:38146503..38146617,-__1146.1.0.0	chr10:38146503..38146617,-	46	87	15		3.8501476017100584	4.477336814478207	2.772588722239781	
WILDTYPE__Antisense.flip.sense__chr10:38146597..38146711,+__123.1.0.0	chr10:38146597..38146711,+	27	61	8		3.332204510175204	4.127134385045092	2.1972245773362196	
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:3893812..3893926,+__1746.1.0.0	Enhancer.noflip.NA	8	35	6		2.1972245773362196	3.58351893845611	1.9459101490553132	
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:3893845..3893959,-__2039.1.0.0	Enhancer.noflip.NA	19	58	9		2.995732273553991	4.07753744390572	2.302585092994046	
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:4285846..4285960,-__124.1.0.0	chr10:4285846..4285960,-	15	79	6		2.772588722239781	4.382026634673881	1.9459101490553132	
WILDTYPE__Lincrna.noflip.NA__chr10:4285914..4286028,-__125.1.0.0	chr10:4285914..4286028,-	13	65	6		2.6390573296152584	4.189654742026425	1.9459101490553132	
WILDTYPE__Lincrna.noflip.NA__chr10:42970994..42971108,+__126.1.0.0	chr10:42970994..42971108,+	45	84	26		3.828641396489095	4.442651256490317	3.295836866004329	
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:43633193..43633307,+__1936.1.0.0	Enhancer.noflip.NA	21	61	13		3.091042453358316	4.127134385045092	2.6390573296152584	
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:43633199..43633313,-__2229.1.0.0	Enhancer.noflip.NA	21	61	13		3.091042453358316	4.127134385045092	2.6390573296152584	
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:43915994..43916108,+__127.1.0.0	chr10:43915994..43916108,+	45	49	21		3.828641396489095	3.912023005428146	3.091042453358316	
WILDTYPE__Lincrna.noflip.NA__chr10:4720371..4720485,-__128.1.0.0	chr10:4720371..4720485,-	20	50	14		3.044522437723423	3.9318256327243257	2.70805020110221	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:51549473..51549587,+__1444.1.0.0	chr10:51549473..51549587,+	5	35	3		1.791759469228055	3.58351893845611	1.3862943611198906	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:52645352..52645466,-__1445.1.0.0	chr10:52645352..52645466,-	11	74	6		2.4849066497880004	4.31748811353631	1.9459101490553132	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:52645397..52645511,-__1446.1.0.0	chr10:52645397..52645511,-	12	69	6		2.5649493574615367	4.248495242049359	1.9459101490553132	
WILDTYPE__mrna.noflip.NA__chr10:54074938..54075052,+__1300.1.0.0	chr10:54074938..54075052,+	6	50	2		1.9459101490553132	3.9318256327243257	1.0986122886681098	
WILDTYPE__Lincrna.noflip.NA__chr10:54215018..54215132,-__129.1.0.0	chr10:54215018..54215132,-	15	100	3		2.772588722239781	4.61512051684126	1.3862943611198906	
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:54515153..54515267,-__130.1.0.0	chr10:54515153..54515267,-	15	77	6		2.772588722239781	4.356708826689592	1.9459101490553132	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:5932135..5932249,+__1408.1.0.0	chr10:5932135..5932249,+	18	68	6		2.9444389791664403	4.23410650459726	1.9459101490553132	
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:5987842..5987956,-__131.1.0.0	chr10:5987842..5987956,-	36	61	17		3.6109179126442243	4.127134385045092	2.8903717578961645	
