tf	tissue_sp_all	tissue_sp_3	K562_exp	HeLa_exp	HepG2_exp
PAX7	0.9900322287876934		0.0	0.0	0.0
HNF1B	0.9795892306106269	0.6666666666666666	0.0	0.0	5.8897020446550625
LIN54	0.7942303720305828	0.4123025177942492	17.857031566982524	18.290624794038067	47.3699569708247
IRF3	0.7193613675540992	0.08947487406847417	23.938784486761783	29.12821032770326	26.498907315910905
MEF2C	0.9783777502524771	0.6652776210808776	112.08965168882274	0.33594814057130623	0.13114476710163628
GRHL1	0.9676813513998189	0.4021427750695685	2.8732067424498178	2.7736220828263654	7.115713683658471
ETV2	0.9280086577956941	0.3479258326505259	1.6135874820853466	0.8994942808756957	0.6434543785179683
GATA2	0.9824798554660278	0.4447401754905682	202.07188289871158	108.62812352432363	25.907188286851934
TBL1XR1	0.8507808429892418	0.10383258552485948	38.276132316271365	40.36170355257184	29.874694680717994
POU6F1	0.8981865615210329	0.4702486924395444	1.07091570094175	2.0739896416545855	0.15119083100373612
NKX2-8	0.9894239730565361		0.0	0.0	0.0
BDP1	0.8242836507119755	0.13979728930163315	19.170132048066865	23.797704795091384	18.444713676253144
NKX3-1	0.9811943602219831	0.5754326443369254	0.0	1.2050235377425291	4.402683366618394
POU4F1	0.9934490388307795	0.46949737578822487	4.962577723231326	0.0	2.935403791856017
MAFK	0.851384131557846	0.46691712521622647	3.1911485918774374	15.247069808838921	5.945637016457837
PKNOX1	0.8520136650476255	0.2479874146062916	6.400727279006025	8.72793048575229	4.561882944423121
HOXD8	0.9207647854065412	0.6666666666666666	0.0	1.0700360207434605	0.0
CEBPD	0.9216941592447624	0.41381312890592686	8.868379823140334	55.587324887264884	33.29797543406129
FOXQ1	0.979535258676996	0.6301511618568015	0.0	41.96356315485366	383.06616484656155
SOX8	0.9689715894960992	0.6666666666666666	0.0	0.0	0.10867691915024126
MYF6	0.9957563672489778		0.0	0.0	0.0
MEF2B	0.9498602347756425	0.11912203046074976	15.788096570634272	19.45624543973443	16.171391923062984
OLIG2	0.978270824884087	0.6666666666666666	0.0	0.03225211042969493	0.0
EGR4	0.9844649432026849	0.6666666666666666	0.0	0.0	0.067403543854185
NR3C2	0.9191803614720748	0.4304663380570433	0.47943897774501454	0.0	0.339730932274903
FOXC2	0.9509435382844985	0.6666666666666666	0.0	8.490865302311956	0.0
TCF21	0.9758039078628493		0.0	0.0	0.0
LHX3	0.9933525294467243		0.0	0.0	0.0
NR2F2	0.8888881790218017	0.15981139301012245	89.47487109037357	74.05608522710051	61.99634558858543
MAFB	0.9624604222112074	0.6477262656562287	0.08939382992500698	9.486116882772636	0.4496187434497913
JUND	0.9508161377527691	0.11495935844094192	103.16675606273496	77.52930139973427	93.22425845752016
ESRRA	0.8530619198481157	0.31198571972191247	24.591908395633737	34.965529743728816	12.612913204158376
TBR1	0.9791072573553962		0.0	0.0	0.0
CDX1	0.9918263248222312		0.0	0.0	0.0
BACH1	0.936688443141121	0.3973030139213249	32.098494850568486	12.391687068875811	13.546816392854202
NFIA	0.8984899647552739	0.2440646884914729	35.39368395281275	46.174684802467894	64.33821339210239
ZNF740	0.6724380177142695	0.3967815591953494	9.290699466337731	23.371489494015826	9.63215139523394
MAFG	0.7006079709137789	0.31806676223763347	22.471232875531964	12.613779627599222	10.88662927083975
GATA1	0.9905898271816055	0.6665986658722168	238.86440893673557	0.0	0.048728908720469616
TFAP2B	0.992423534514177	0.6666666666666666	1.5269903437667312	0.0	0.0
INSM1	0.985935196085528		0.0	0.0	0.0
POU2F1	0.8183898649572997	0.1899971439097342	11.72772151591277	12.938063016726598	17.248697021770898
NFYB	0.8826432853243236	0.15140843221974812	23.043891002202216	27.42144296810859	19.34348186700129
BATF	0.9698834510493134	0.4017387326546684	0.2223202569923635	0.059623929447431376	0.3547432468018843
ALX4	0.9880102970679913	0.6247774073254582	0.17878765985001424	0.0	0.02246784795139503
