motif_id	motif_name	Gene ID	comment
MA0002.2	RUNX1	ENSG00000159216	
MA0003.3	TFAP2A	ENSG00000137203	
MA0007.3	Ar	ENSG00000169083	Mus musculus; human ortholog selected
MA0009.2	T	ENSG00000164458	
MA0014.2	PAX5	ENSG00000196092	
MA0017.2	NR2F1	ENSG00000175745	
MA0019.1	Ddit3::Cebpa	ENSG00000175197::ENSG00000245848	Rattus norvegicus; dimer; human orthologs selected
MA0024.3	E2F1	ENSG00000101412	
MA0028.2	ELK1	ENSG00000126767	
MA0029.1	Mecom	ENSG00000085276	Mus musculus; human ortholog selected
MA0032.2	FOXC1	ENSG00000054598	
MA0035.3	Gata1	ENSG00000102145	Mus musculus; human ortholog selected
MA0036.2	GATA2	ENSG00000179348	
MA0038.1	Gfi1	ENSG00000162676	Rattus norvegicus; human ortholog selected
MA0039.2	Klf4	ENSG00000136826	
MA0040.1	Foxq1	ENSG00000164379	Rattus norvegicus; human ortholog selected
MA0041.1	Foxd3	ENSG00000187140	Rattus norvegicus; human ortholog selected
MA0043.2	HLF	ENSG00000108924	
MA0046.2	HNF1A	ENSG00000135100	
MA0047.2	Foxa2	ENSG00000125798	Mus musculus; human ortholog selected
MA0048.2	NHLH1	ENSG00000171786	
MA0050.2	IRF1	ENSG00000125347	
MA0051.1	IRF2	ENSG00000168310	
MA0057.1	MZF1(var.2)	ENSG00000099326	Homo sapiens; variant
MA0058.3	MAX	ENSG00000125952	
MA0059.1	MAX::MYC	ENSG00000125952::ENSG00000136997	Homo sapiens; dimer
MA0060.2	NFYA	ENSG00000001167	
MA0062.2	Gabpa	ENSG00000154727	Mus musculus; human ortholog selected
MA0065.2	Pparg::Rxra	ENSG00000132170::ENSG00000186350	Mus musculus; dimer; human orthologs selected
MA0066.1	PPARG	ENSG00000132170	
MA0069.1	Pax6	ENSG00000007372	Homo sapiens
MA0070.1	PBX1	ENSG00000185630	
MA0071.1	RORA	ENSG00000069667	
MA0072.1	RORA(var.2)	ENSG00000069667	Homo sapiens; variant
MA0073.1	RREB1	ENSG00000124782	
MA0074.1	RXRA::VDR	ENSG00000186350::ENSG00000111424	Homo sapiens; dimer
MA0076.2	ELK4	ENSG00000158711	
MA0077.1	SOX9	ENSG00000125398	
MA0078.1	Sox17	ENSG00000164736	Mus musculus; human ortholog selected
MA0079.3	SP1	ENSG00000185591	
MA0080.4	SPI1	ENSG00000066336	
MA0084.1	SRY	ENSG00000184895	
MA0088.2	ZNF143	ENSG00000166478	
MA0090.2	TEAD1	ENSG00000187079	
MA0091.1	TAL1::TCF3	ENSG00000162367::ENSG00000071564	Homo sapiens; dimer
MA0092.1	Hand1::Tcf3	ENSG00000113196::ENSG00000071564	Mus musculus; dimer; human orthologs selected
MA0093.2	USF1	ENSG00000158773	
MA0095.2	YY1	ENSG00000100811	
MA0098.3	ETS1	ENSG00000134954	
MA0100.2	Myb	ENSG00000118513	Mus musculus; human ortholog selected
MA0101.1	REL	ENSG00000162924	
MA0103.2	ZEB1	ENSG00000148516	
MA0104.3	Mycn	ENSG00000134323	Mus musculus; human ortholog selected
MA0105.4	NFKB1	ENSG00000109320	
MA0106.3	TP53	ENSG00000141510	
MA0107.1	RELA	ENSG00000173039	
MA0108.2	TBP	ENSG00000112592	
MA0109.1	HLTF	ENSG00000071794	
MA0111.1	Spz1	ENSG00000164299	Mus musculus; human ortholog selected
MA0112.3	ESR1	ENSG00000091831	
MA0113.3	NR3C1	ENSG00000113580	
MA0114.3	Hnf4a	ENSG00000101076	Mouse==Rat; human ortholog selected
MA0115.1	NR1H2::RXRA	ENSG00000131408::ENSG00000186350	Dimer
