motif	start	end
Gfi1	2	11
RREB1	29	48
RREB1	30	49
EGR4	31	46
RREB1	32	51
GLIS2	32	45
RREB1	34	53
Klf1	35	45
RREB1	35	54
SP2	35	49
SP2	36	50
SP8	36	47
ZNF740	36	45
EWSR1-FLI1	36	53
MZF1(var.2)	36	45
EGR1	36	49
MZF1(var.2)	37	46
SP3	37	47
KLF16	37	47
PLAG1	37	50
SP4	37	53
EGR1	37	50
ZNF740	37	46
EGR4	38	53
PLAG1	38	51
ZNF740	38	47
SP3	38	48
SP8	38	49
ZNF740	39	48
KLF14	39	52
SP3	39	49
SP1	39	49
SP8	39	50
KLF16	39	49
Klf4	40	49
KLF16	40	50
SP1	40	50
ZNF740	40	49
SP3	40	50
KLF5	40	49
KLF5	41	50
Klf1	41	51
RARA	41	58
ZNF740	41	50
Klf4	41	50
ZNF740	42	51
SP8	43	54
IRF2	44	61
IRF1	45	65
NFKB1	45	57
NFKB2	46	58
REL	46	55
NFKB1	46	58
RELA	47	56
REL	47	56
Ddit3::Cebpa	47	58
STAT1::STAT2	47	61
Ddit3::Cebpa	48	59
Hoxc9	48	60
IRF7	49	62
IRF8	49	62
IRF9	49	63
Gabpa	52	62
Gabpa	53	63
ELF3	53	65
ELK4	53	63
