tss_id	tissue_spec
chr1:839741-840250	0.9748271762502563
chr1:840753-841210	0.9673273619895381
chr1:845485-845678	0.966489107697378
chr1:855764-856157	0.9824281992856506
chr1:856539-856757	0.976587991328343
chr1:858256-858648	0.9749344453462215
chr1:868565-868684	0.9903180156899559
chr1:918449-918555	0.9502673392475269
chr1:936652-937138	0.986279315199372
chr1:941791-942135	0.9937191389473851
chr1:945769-946034	0.9927912049991591
chr1:956563-956812	0.9002330954089318
chr1:993498-993878	0.9841295351908153
chr1:994198-994452	0.9499638256141181
chr1:1004646-1004986	0.8442350942702617
chr1:1005293-1005547	0.9737230617443493
chr1:1008722-1008886	0.9897747838224579
chr1:1014834-1015095	0.9575743267456355
chr1:1060905-1061095	0.9985343700768295
chr1:1063914-1064111	0.9722308235807958
chr1:1070745-1071151	0.9899905566352404
chr1:1093610-1093958	0.9629904949929696
chr1:1098630-1098901	0.9718326471266641
chr1:1107193-1107436	0.988015436578278
chr1:1114183-1114310	0.9954784651056453
chr1:1124600-1124942	0.9879094651818241
chr1:1136075-1136463	0.9754633972458399
chr1:1136667-1137146	0.9567068441224945
chr1:1143531-1144198	0.9662740223637585
chr1:1144376-1144549	0.9863362387350914
chr1:1173386-1173736	0.9908796022072826
chr1:1186391-1186507	0.9826262525425051
chr1:1265677-1265980	0.9790434469984953
chr1:1283060-1283625	0.9437194095008639
chr1:1286847-1286913	0.972811864544614
chr1:1294735-1294982	0.954517449149549
chr1:1295535-1296332	0.8714459843436981
chr1:1343359-1343768	0.9772349382426072
chr1:1348685-1348696	0.9967153249802863
chr1:1368471-1368786	0.9538138287370908
chr1:1456676-1456699	0.9859502850841203
chr1:1609619-1609864	0.9740380833059141
chr1:1611804-1612115	0.9763765223913595
chr1:1706859-1707124	0.9898410217306808
chr1:1708824-1709349	0.9608886567961983
chr1:1714020-1714715	0.9805114771125247
chr1:1744250-1744609	0.967844123761329
chr1:1772108-1772256	0.9771914296114882
chr1:1793829-1793862	0.9512113396539374
chr1:1803114-1803303	0.95708007547271845
chr1:1814762-1815124	0.9005456697891648
chr1:1840449-1840835	0.7292312802034034
chr1:1951401-1951779	0.9937170036266378
chr1:1952050-1952360	0.9921320529077186
chr1:1978731-1978937	0.9863619064425002
chr1:2059932-2059994	0.991246829031042
chr1:2068660-2068858	0.9818716577123695
chr1:2082729-2083012	0.9734742350523234
chr1:2111429-2112079	0.9896506506773037
chr1:2135885-2136186	0.9655995876956607
chr1:2140151-2140337	0.9436334960648578
chr1:2162325-2162996	0.9524264652233186
chr1:2171824-2171946	0.9693956229057353
chr1:2172142-2172385	0.981708396222757
chr1:2177615-2177829	0.9382166232591003
chr1:2190530-2190674	0.9662964039082629
chr1:2221868-2222548	0.9036413773428545
chr1:2230678-2230895	0.9727838842905836
chr1:2231691-2232185	0.9471673550249303
chr1:2232428-2232896	0.9325281250075255
chr1:2245775-2246116	0.9172959794264665
chr1:2246556-2246763	0.9389864245277637
chr1:2253622-2253773	0.9571919848661042
chr1:2254081-2254230	0.9766129542234148
chr1:2380992-2381349	0.9807800589048526
chr1:2406489-2406881	0.9874791207638076
chr1:2476299-2476723	0.9889211202066458
chr1:2477415-2477971	0.8201336264273913
chr1:2478276-2478817	0.8639467215940847
chr1:2501788-2502413	0.9870543886540172
